설문 답변 일련번호,설문 문제 일련번호,설문 답변자 고유번호,설문 답변 내용,답변 등록 일시
QSTNN_ANSR_CONNO,QSTNN_QUSTN_CONNO,QSTNN_ANSRR_IDNO,QSTNN_ANSR_CONT,ANSR_RGSTN_DTM
1,1,1,남자,2019-12-12 5:05
103,1,4,남자,2019-12-12 5:05
137,1,5,남자,2019-12-12 5:05
171,1,6,남자,2019-12-12 5:05
205,1,7,남자,2019-12-12 5:05
239,1,8,여자,2019-12-12 5:05
273,1,9,여자,2019-12-12 5:05
307,1,10,여자,2019-12-12 5:05
341,1,11,남자,2019-12-12 5:05
35,1,2,여자,2019-12-12 5:05
375,1,12,여자,2019-12-12 5:05
69,1,3,여자,2019-12-12 5:05
104,2,4,60대이상,2019-12-12 5:05
138,2,5,60대이상,2019-12-12 5:05
172,2,6,60대이상,2019-12-12 5:05
2,2,1,60대이상,2019-12-12 5:05
206,2,7,60대이상,2019-12-12 5:05
240,2,8,60대이상,2019-12-12 5:05
274,2,9,60대이상,2019-12-12 5:05
308,2,10,60대이상,2019-12-12 5:05
342,2,11,60대이상,2019-12-12 5:05
36,2,2,60대이상,2019-12-12 5:05
376,2,12,60대이상,2019-12-12 5:05
70,2,3,60대이상,2019-12-12 5:05
105,3,4,없다,2019-12-12 5:05
139,3,5,없다,2019-12-12 5:05
173,3,6,없다,2019-12-12 5:05
207,3,7,없다,2019-12-12 5:05
241,3,8,,2019-12-12 5:05
275,3,9,없다,2019-12-12 5:05
3,3,1,없다,2019-12-12 5:05
309,3,10,없다,2019-12-12 5:05
343,3,11,없다,2019-12-12 5:05
37,3,2,없다,2019-12-12 5:05
377,3,12,없다,2019-12-12 5:05
71,3,3,없다,2019-12-12 5:05
106,4,4,참가자,2019-12-12 5:05
140,4,5,참가자,2019-12-12 5:05
174,4,6,인솔자,2019-12-12 5:05
208,4,7,,2019-12-12 5:05
242,4,8,인솔자,2019-12-12 5:05
276,4,9,,2019-12-12 5:05
310,4,10,,2019-12-12 5:05
344,4,11,,2019-12-12 5:05
378,4,12,참가자,2019-12-12 5:05
38,4,2,참가자,2019-12-12 5:05
4,4,1,,2019-12-12 5:05
72,4,3,,2019-12-12 5:05
107,5,4,경기/인천,2019-12-12 5:05
141,5,5,경기/인천,2019-12-12 5:05
175,5,6,경기/인천,2019-12-12 5:05
209,5,7,서울,2019-12-12 5:05
243,5,8,서울,2019-12-12 5:05
277,5,9,경기/인천,2019-12-12 5:05
311,5,10,경기/인천,2019-12-12 5:05
345,5,11,경기/인천,2019-12-12 5:05
379,5,12,경기/인천,2019-12-12 5:05
39,5,2,경기/인천,2019-12-12 5:05
5,5,1,경기/인천,2019-12-12 5:05
73,5,3,경기/인천,2019-12-12 5:05
108,6,4,건강증진,2019-12-12 5:05
109,6,4,산림체험활동,2019-12-12 5:05
110,6,4,휴식 및 명상,2019-12-12 5:05
142,6,5,인간관계돈독,2019-12-12 5:05
143,6,5,건강증진,2019-12-12 5:05
144,6,5,휴식 및 명상,2019-12-12 5:05
176,6,6,산림체험활동,2019-12-12 5:05
177,6,6,인간관계돈독,2019-12-12 5:05
178,6,6,건강증진,2019-12-12 5:05
210,6,7,인간관계돈독,2019-12-12 5:05
211,6,7,휴식 및 명상,2019-12-12 5:05
212,6,7,여가시간 활용,2019-12-12 5:05
244,6,8,산림체험활동,2019-12-12 5:05
245,6,8,휴식 및 명상,2019-12-12 5:05
246,6,8,인간관계돈독,2019-12-12 5:05
278,6,9,인간관계돈독,2019-12-12 5:05
279,6,9,산림체험활동,2019-12-12 5:05
280,6,9,휴식 및 명상,2019-12-12 5:05
312,6,10,인간관계돈독,2019-12-12 5:05
313,6,10,자연경관감상,2019-12-12 5:05
314,6,10,산림지식습득,2019-12-12 5:05
346,6,11,인간관계돈독,2019-12-12 5:05
347,6,11,자연경관감상,2019-12-12 5:05
348,6,11,건강증진,2019-12-12 5:05
380,6,12,인간관계돈독,2019-12-12 5:05
381,6,12,자연경관감상,2019-12-12 5:05
382,6,12,건강증진,2019-12-12 5:05
40,6,2,인간관계돈독,2019-12-12 5:05
41,6,2,산림체험활동,2019-12-12 5:05
42,6,2,휴식 및 명상,2019-12-12 5:05
6,6,1,인간관계돈독,2019-12-12 5:05
7,6,1,건강증진,2019-12-12 5:05
74,6,3,산림체험활동,2019-12-12 5:05
75,6,3,건강증진,2019-12-12 5:05
76,6,3,자연경관감상,2019-12-12 5:05
8,6,1,,2019-12-12 5:05
111,7,4,만족,2019-12-12 5:05
145,7,5,매우 만족,2019-12-12 5:05
179,7,6,만족,2019-12-12 5:05
213,7,7,매우 만족,2019-12-12 5:05
247,7,8,매우 만족,2019-12-12 5:05
281,7,9,매우 만족,2019-12-12 5:05
315,7,10,만족,2019-12-12 5:05
349,7,11,매우 만족,2019-12-12 5:05
383,7,12,만족,2019-12-12 5:05
43,7,2,매우 만족,2019-12-12 5:05
77,7,3,매우 만족,2019-12-12 5:05
9,7,1,매우 만족,2019-12-12 5:05
10,8,1,매우 만족,2019-12-12 5:05
112,8,4,만족,2019-12-12 5:05
146,8,5,매우 만족,2019-12-12 5:05
180,8,6,매우 만족,2019-12-12 5:05
214,8,7,매우 만족,2019-12-12 5:05
248,8,8,매우 만족,2019-12-12 5:05
282,8,9,매우 만족,2019-12-12 5:05
316,8,10,만족,2019-12-12 5:05
350,8,11,매우 만족,2019-12-12 5:05
384,8,12,매우 만족,2019-12-12 5:05
44,8,2,매우 만족,2019-12-12 5:05
78,8,3,매우 만족,2019-12-12 5:05
11,9,1,매우 만족,2019-12-12 5:05
113,9,4,매우 만족,2019-12-12 5:05
147,9,5,매우 만족,2019-12-12 5:05
181,9,6,만족,2019-12-12 5:05
215,9,7,매우 만족,2019-12-12 5:05
249,9,8,매우 만족,2019-12-12 5:05
283,9,9,매우 만족,2019-12-12 5:05
317,9,10,만족,2019-12-12 5:05
351,9,11,매우 만족,2019-12-12 5:05
385,9,12,만족,2019-12-12 5:05
45,9,2,매우 만족,2019-12-12 5:05
79,9,3,매우 만족,2019-12-12 5:05
114,10,4,매우 만족,2019-12-12 5:05
12,10,1,매우 만족,2019-12-12 5:05
148,10,5,매우 만족,2019-12-12 5:05
182,10,6,매우 만족,2019-12-12 5:05
216,10,7,매우 만족,2019-12-12 5:05
250,10,8,매우 만족,2019-12-12 5:05
284,10,9,매우 만족,2019-12-12 5:05
318,10,10,만족,2019-12-12 5:05
352,10,11,매우 만족,2019-12-12 5:05
386,10,12,보통,2019-12-12 5:05
46,10,2,매우 만족,2019-12-12 5:05
80,10,3,매우 만족,2019-12-12 5:05
115,11,4,만족,2019-12-12 5:05
13,11,1,매우 만족,2019-12-12 5:05
149,11,5,매우 만족,2019-12-12 5:05
183,11,6,매우 만족,2019-12-12 5:05
217,11,7,매우 만족,2019-12-12 5:05
251,11,8,매우 만족,2019-12-12 5:05
285,11,9,매우 만족,2019-12-12 5:05
319,11,10,만족,2019-12-12 5:05
353,11,11,매우 만족,2019-12-12 5:05
387,11,12,만족,2019-12-12 5:05
47,11,2,매우 만족,2019-12-12 5:05
81,11,3,매우 만족,2019-12-12 5:05
116,12,4,매우 만족,2019-12-12 5:05
14,12,1,매우 만족,2019-12-12 5:05
150,12,5,매우 만족,2019-12-12 5:05
184,12,6,매우 만족,2019-12-12 5:05
218,12,7,매우 만족,2019-12-12 5:05
252,12,8,매우 만족,2019-12-12 5:05
286,12,9,매우 만족,2019-12-12 5:05
320,12,10,매우 만족,2019-12-12 5:05
354,12,11,매우 만족,2019-12-12 5:05
388,12,12,매우 만족,2019-12-12 5:05
48,12,2,매우 만족,2019-12-12 5:05
82,12,3,매우 만족,2019-12-12 5:05
117,13,4,만족,2019-12-12 5:05
15,13,1,매우 만족,2019-12-12 5:05
151,13,5,매우 만족,2019-12-12 5:05
185,13,6,매우 만족,2019-12-12 5:05
219,13,7,매우 만족,2019-12-12 5:05
253,13,8,매우 만족,2019-12-12 5:05
287,13,9,매우 만족,2019-12-12 5:05
321,13,10,매우 만족,2019-12-12 5:05
355,13,11,매우 만족,2019-12-12 5:05
389,13,12,매우 만족,2019-12-12 5:05
49,13,2,매우 만족,2019-12-12 5:05
83,13,3,매우 만족,2019-12-12 5:05
118,14,4,만족,2019-12-12 5:05
152,14,5,매우 만족,2019-12-12 5:05
16,14,1,보통,2019-12-12 5:05
186,14,6,매우 만족,2019-12-12 5:05
220,14,7,매우 만족,2019-12-12 5:05
254,14,8,매우 만족,2019-12-12 5:05
288,14,9,매우 만족,2019-12-12 5:05
322,14,10,매우 만족,2019-12-12 5:05
356,14,11,매우 만족,2019-12-12 5:05
390,14,12,매우 만족,2019-12-12 5:05
50,14,2,매우 만족,2019-12-12 5:05
84,14,3,매우 만족,2019-12-12 5:05
119,15,4,만족,2019-12-12 5:05
153,15,5,매우 만족,2019-12-12 5:05
17,15,1,만족,2019-12-12 5:05
187,15,6,매우 만족,2019-12-12 5:05
221,15,7,매우 만족,2019-12-12 5:05
255,15,8,매우 만족,2019-12-12 5:05
289,15,9,매우 만족,2019-12-12 5:05
323,15,10,,2019-12-12 5:05
357,15,11,매우 만족,2019-12-12 5:05
391,15,12,매우 만족,2019-12-12 5:05
51,15,2,매우 만족,2019-12-12 5:05
85,15,3,매우 만족,2019-12-12 5:05
120,16,4,매우 만족,2019-12-12 5:05
154,16,5,만족,2019-12-12 5:05
18,16,1,매우 만족,2019-12-12 5:05
188,16,6,매우 만족,2019-12-12 5:05
222,16,7,매우 만족,2019-12-12 5:05
256,16,8,매우 만족,2019-12-12 5:05
290,16,9,매우 만족,2019-12-12 5:05
324,16,10,매우 만족,2019-12-12 5:05
358,16,11,매우 만족,2019-12-12 5:05
392,16,12,매우 만족,2019-12-12 5:05
52,16,2,매우 만족,2019-12-12 5:05
86,16,3,매우 만족,2019-12-12 5:05
121,17,4,매우 만족,2019-12-12 5:05
155,17,5,매우 만족,2019-12-12 5:05
189,17,6,매우 만족,2019-12-12 5:05
19,17,1,매우 만족,2019-12-12 5:05
223,17,7,매우 만족,2019-12-12 5:05
257,17,8,매우 만족,2019-12-12 5:05
291,17,9,매우 만족,2019-12-12 5:05
325,17,10,매우 만족,2019-12-12 5:05
359,17,11,매우 만족,2019-12-12 5:05
393,17,12,매우 만족,2019-12-12 5:05
53,17,2,만족,2019-12-12 5:05
87,17,3,매우 만족,2019-12-12 5:05
122,18,4,매우 만족,2019-12-12 5:05
156,18,5,만족,2019-12-12 5:05
190,18,6,매우 만족,2019-12-12 5:05
20,18,1,만족,2019-12-12 5:05
224,18,7,,2019-12-12 5:05
258,18,8,,2019-12-12 5:05
292,18,9,매우 만족,2019-12-12 5:05
326,18,10,,2019-12-12 5:05
360,18,11,매우 만족,2019-12-12 5:05
394,18,12,,2019-12-12 5:05
54,18,2,매우 만족,2019-12-12 5:05
88,18,3,매우 만족,2019-12-12 5:05
123,19,4,매우 만족,2019-12-12 5:05
157,19,5,매우 만족,2019-12-12 5:05
191,19,6,매우 만족,2019-12-12 5:05
21,19,1,매우 만족,2019-12-12 5:05
225,19,7,만족,2019-12-12 5:05
259,19,8,매우 만족,2019-12-12 5:05
293,19,9,매우 만족,2019-12-12 5:05
327,19,10,매우 만족,2019-12-12 5:05
361,19,11,매우 만족,2019-12-12 5:05
395,19,12,만족,2019-12-12 5:05
55,19,2,매우 만족,2019-12-12 5:05
89,19,3,매우 만족,2019-12-12 5:05
124,20,4,만족,2019-12-12 5:05
158,20,5,매우 만족,2019-12-12 5:05
192,20,6,만족,2019-12-12 5:05
22,20,1,매우 만족,2019-12-12 5:05
226,20,7,매우 만족,2019-12-12 5:05
260,20,8,만족,2019-12-12 5:05
294,20,9,매우 만족,2019-12-12 5:05
328,20,10,보통,2019-12-12 5:05
362,20,11,매우 만족,2019-12-12 5:05
396,20,12,보통,2019-12-12 5:05
56,20,2,매우 만족,2019-12-12 5:05
90,20,3,매우 만족,2019-12-12 5:05
125,21,4,만족,2019-12-12 5:05
159,21,5,만족,2019-12-12 5:05
193,21,6,매우 만족,2019-12-12 5:05
227,21,7,매우 만족,2019-12-12 5:05
23,21,1,매우 만족,2019-12-12 5:05
261,21,8,매우 만족,2019-12-12 5:05
295,21,9,매우 만족,2019-12-12 5:05
329,21,10,만족,2019-12-12 5:05
363,21,11,매우 만족,2019-12-12 5:05
397,21,12,보통,2019-12-12 5:05
57,21,2,매우 만족,2019-12-12 5:05
91,21,3,매우 만족,2019-12-12 5:05
126,22,4,만족,2019-12-12 5:05
160,22,5,만족,2019-12-12 5:05
194,22,6,매우 만족,2019-12-12 5:05
228,22,7,매우 만족,2019-12-12 5:05
24,22,1,매우 만족,2019-12-12 5:05
262,22,8,매우 만족,2019-12-12 5:05
296,22,9,매우 만족,2019-12-12 5:05
330,22,10,만족,2019-12-12 5:05
364,22,11,매우 만족,2019-12-12 5:05
398,22,12,만족,2019-12-12 5:05
58,22,2,매우 만족,2019-12-12 5:05
92,22,3,매우 만족,2019-12-12 5:05
127,23,4,만족,2019-12-12 5:05
161,23,5,매우 만족,2019-12-12 5:05
195,23,6,매우 만족,2019-12-12 5:05
229,23,7,매우 만족,2019-12-12 5:05
25,23,1,매우 만족,2019-12-12 5:05
263,23,8,매우 만족,2019-12-12 5:05
297,23,9,매우 만족,2019-12-12 5:05
331,23,10,만족,2019-12-12 5:05
365,23,11,매우 만족,2019-12-12 5:05
399,23,12,보통,2019-12-12 5:05
59,23,2,매우 만족,2019-12-12 5:05
93,23,3,매우 만족,2019-12-12 5:05
128,24,4,매우 만족,2019-12-12 5:05
162,24,5,매우 만족,2019-12-12 5:05
196,24,6,매우 만족,2019-12-12 5:05
230,24,7,만족,2019-12-12 5:05
26,24,1,매우 만족,2019-12-12 5:05
264,24,8,매우 만족,2019-12-12 5:05
298,24,9,매우 만족,2019-12-12 5:05
332,24,10,매우 만족,2019-12-12 5:05
366,24,11,매우 만족,2019-12-12 5:05
400,24,12,,2019-12-12 5:05
60,24,2,매우 만족,2019-12-12 5:05
94,24,3,매우 만족,2019-12-12 5:05
129,25,4,매우 만족,2019-12-12 5:05
163,25,5,만족,2019-12-12 5:05
197,25,6,매우 만족,2019-12-12 5:05
231,25,7,만족,2019-12-12 5:05
265,25,8,매우 만족,2019-12-12 5:05
27,25,1,매우 만족,2019-12-12 5:05
299,25,9,매우 만족,2019-12-12 5:05
333,25,10,매우 만족,2019-12-12 5:05
367,25,11,매우 만족,2019-12-12 5:05
401,25,12,만족,2019-12-12 5:05
61,25,2,매우 만족,2019-12-12 5:05
95,25,3,매우 만족,2019-12-12 5:05
130,26,4,만족,2019-12-12 5:05
164,26,5,만족,2019-12-12 5:05
198,26,6,매우 만족,2019-12-12 5:05
232,26,7,만족,2019-12-12 5:05
266,26,8,매우 만족,2019-12-12 5:05
28,26,1,매우 만족,2019-12-12 5:05
300,26,9,매우 만족,2019-12-12 5:05
334,26,10,매우 만족,2019-12-12 5:05
368,26,11,매우 만족,2019-12-12 5:05
402,26,12,만족,2019-12-12 5:05
62,26,2,매우 만족,2019-12-12 5:05
96,26,3,매우 만족,2019-12-12 5:05
131,27,4,만족,2019-12-12 5:05
165,27,5,만족,2019-12-12 5:05
199,27,6,매우 만족,2019-12-12 5:05
233,27,7,만족,2019-12-12 5:05
267,27,8,매우 만족,2019-12-12 5:05
29,27,1,매우 만족,2019-12-12 5:05
301,27,9,만족,2019-12-12 5:05
335,27,10,만족,2019-12-12 5:05
369,27,11,매우 만족,2019-12-12 5:05
403,27,12,만족,2019-12-12 5:05
63,27,2,매우 만족,2019-12-12 5:05
97,27,3,매우 만족,2019-12-12 5:05
132,28,4,매우 만족,2019-12-12 5:05
166,28,5,만족,2019-12-12 5:05
200,28,6,매우 만족,2019-12-12 5:05
234,28,7,만족,2019-12-12 5:05
268,28,8,매우 만족,2019-12-12 5:05
30,28,1,만족,2019-12-12 5:05
302,28,9,매우 만족,2019-12-12 5:05
336,28,10,매우 만족,2019-12-12 5:05
370,28,11,매우 만족,2019-12-12 5:05
404,28,12,만족,2019-12-12 5:05
64,28,2,매우 만족,2019-12-12 5:05
98,28,3,매우 만족,2019-12-12 5:05
133,29,4,매우 만족,2019-12-12 5:05
167,29,5,매우 만족,2019-12-12 5:05
201,29,6,매우 만족,2019-12-12 5:05
235,29,7,만족,2019-12-12 5:05
269,29,8,매우 만족,2019-12-12 5:05
303,29,9,매우 만족,2019-12-12 5:05
31,29,1,매우 만족,2019-12-12 5:05
337,29,10,매우 만족,2019-12-12 5:05
371,29,11,매우 만족,2019-12-12 5:05
405,29,12,만족,2019-12-12 5:05
65,29,2,매우 만족,2019-12-12 5:05
99,29,3,매우 만족,2019-12-12 5:05
100,30,3,매우 만족,2019-12-12 5:05
134,30,4,매우 만족,2019-12-12 5:05
168,30,5,매우 만족,2019-12-12 5:05
202,30,6,매우 만족,2019-12-12 5:05
236,30,7,만족,2019-12-12 5:05
270,30,8,매우 만족,2019-12-12 5:05
304,30,9,매우 만족,2019-12-12 5:05
32,30,1,만족,2019-12-12 5:05
338,30,10,매우 만족,2019-12-12 5:05
372,30,11,매우 만족,2019-12-12 5:05
406,30,12,매우 만족,2019-12-12 5:05
66,30,2,매우 만족,2019-12-12 5:05
101,31,3,매우 만족,2019-12-12 5:05
135,31,4,매우 만족,2019-12-12 5:05
169,31,5,매우 만족,2019-12-12 5:05
203,31,6,매우 만족,2019-12-12 5:05
237,31,7,만족,2019-12-12 5:05
271,31,8,매우 만족,2019-12-12 5:05
305,31,9,매우 만족,2019-12-12 5:05
33,31,1,만족,2019-12-12 5:05
339,31,10,매우 만족,2019-12-12 5:05
373,31,11,매우 만족,2019-12-12 5:05
407,31,12,매우 만족,2019-12-12 5:05
67,31,2,매우 만족,2019-12-12 5:05
102,32,3,공사로 인해 화장실 이용이 불편햇다,2019-12-12 5:05
136,32,4,,2019-12-12 5:05
170,32,5,동절기 화장실 관리문제로 이용이 어려웠다,2019-12-12 5:05
204,32,6,,2019-12-12 5:05
238,32,7,,2019-12-12 5:05
272,32,8,,2019-12-12 5:05
306,32,9,,2019-12-12 5:05
34,32,1,,2019-12-12 5:05
340,32,10,화장실 공사를 한꺼번에 하는 바람에 많이 불편 했습니다.,2019-12-12 5:05
374,32,11,전반적으로 만족하나 화장실이 멀고 조금 불편하였음 매점에 맥주나 와인류를 판매했으면 좋겠음,2019-12-12 5:05
408,32,12,,2019-12-12 5:05
68,32,2,동절기 화장실이 어려움이 많았다,2019-12-12 5:05
409,33,13,여자,2019-12-12 5:05
448,33,14,남자,2019-12-12 5:05
486,33,15,여자,2019-12-12 5:05
524,33,16,여자,2019-12-12 5:05
562,33,17,여자,2019-12-12 5:05
600,33,18,여자,2019-12-12 5:05
638,33,19,여자,2019-12-12 5:05
676,33,20,남자,2019-12-12 5:05
714,33,21,여자,2019-12-12 5:05
752,33,22,여자,2019-12-12 5:05
790,33,23,여자,2019-12-12 5:05
828,33,24,여자,2019-12-12 5:05
866,33,25,여자,2019-12-12 5:05
904,33,26,여자,2019-12-12 5:05
410,34,13,30대,2019-12-12 5:05
449,34,14,30대,2019-12-12 5:05
487,34,15,50대,2019-12-12 5:05
525,34,16,20대,2019-12-12 5:05
563,34,17,50대,2019-12-12 5:05
601,34,18,40대,2019-12-12 5:05
639,34,19,30대,2019-12-12 5:05
677,34,20,40대,2019-12-12 5:05
715,34,21,30대,2019-12-12 5:05
753,34,22,30대,2019-12-12 5:05
791,34,23,30대,2019-12-12 5:05
829,34,24,40대,2019-12-12 5:05
867,34,25,50대,2019-12-12 5:05
905,34,26,10대,2019-12-12 5:05
411,35,13,없다,2019-12-12 5:05
450,35,14,없다,2019-12-12 5:05
488,35,15,없다,2019-12-12 5:05
526,35,16,없다,2019-12-12 5:05
564,35,17,없다,2019-12-12 5:05
602,35,18,없다,2019-12-12 5:05
640,35,19,없다,2019-12-12 5:05
678,35,20,있다,2019-12-12 5:05
716,35,21,없다,2019-12-12 5:05
754,35,22,없다,2019-12-12 5:05
792,35,23,없다,2019-12-12 5:05
830,35,24,없다,2019-12-12 5:05
868,35,25,없다,2019-12-12 5:05
906,35,26,없다,2019-12-12 5:05
412,36,13,참가자,2019-12-12 5:05
451,36,14,참가자,2019-12-12 5:05
489,36,15,참가자,2019-12-12 5:05
527,36,16,참가자,2019-12-12 5:05
565,36,17,참가자,2019-12-12 5:05
603,36,18,참가자,2019-12-12 5:05
641,36,19,참가자,2019-12-12 5:05
679,36,20,참가자,2019-12-12 5:05
717,36,21,참가자,2019-12-12 5:05
755,36,22,참가자,2019-12-12 5:05
793,36,23,참가자,2019-12-12 5:05
831,36,24,참가자,2019-12-12 5:05
869,36,25,참가자,2019-12-12 5:05
907,36,26,참가자,2019-12-12 5:05
413,37,13,경기/인천,2019-12-12 5:05
452,37,14,경기/인천,2019-12-12 5:05
490,37,15,경기/인천,2019-12-12 5:05
528,37,16,경기/인천,2019-12-12 5:05
566,37,17,경기/인천,2019-12-12 5:05
604,37,18,경기/인천,2019-12-12 5:05
642,37,19,경기/인천,2019-12-12 5:05
680,37,20,경기/인천,2019-12-12 5:05
718,37,21,경기/인천,2019-12-12 5:05
756,37,22,경기/인천,2019-12-12 5:05
794,37,23,경기/인천,2019-12-12 5:05
832,37,24,,2019-12-12 5:05
870,37,25,경기/인천,2019-12-12 5:05
908,37,26,경기/인천,2019-12-12 5:05
414,38,13,인간관계돈독,2019-12-12 5:05
415,38,13,휴식 및 명상,2019-12-12 5:05
416,38,13,산림체험활동,2019-12-12 5:05
453,38,14,건강증진,2019-12-12 5:05
454,38,14,인간관계돈독,2019-12-12 5:05
455,38,14,휴식 및 명상,2019-12-12 5:05
491,38,15,휴식 및 명상,2019-12-12 5:05
492,38,15,건강증진,2019-12-12 5:05
493,38,15,산림체험활동,2019-12-12 5:05
529,38,16,인간관계돈독,2019-12-12 5:05
530,38,16,건강증진,2019-12-12 5:05
531,38,16,휴식 및 명상,2019-12-12 5:05
567,38,17,산림체험활동,2019-12-12 5:05
568,38,17,인간관계돈독,2019-12-12 5:05
569,38,17,휴식 및 명상,2019-12-12 5:05
605,38,18,건강증진,2019-12-12 5:05
606,38,18,휴식 및 명상,2019-12-12 5:05
607,38,18,산림체험활동,2019-12-12 5:05
643,38,19,건강증진,2019-12-12 5:05
644,38,19,휴식 및 명상,2019-12-12 5:05
645,38,19,산림체험활동,2019-12-12 5:05
681,38,20,휴식 및 명상,2019-12-12 5:05
682,38,20,인간관계돈독,2019-12-12 5:05
683,38,20,건강증진,2019-12-12 5:05
719,38,21,휴식 및 명상,2019-12-12 5:05
720,38,21,산림체험활동,2019-12-12 5:05
721,38,21,건강증진,2019-12-12 5:05
757,38,22,건강증진,2019-12-12 5:05
758,38,22,휴식 및 명상,2019-12-12 5:05
759,38,22,자연경관감상,2019-12-12 5:05
795,38,23,건강증진,2019-12-12 5:05
796,38,23,인간관계돈독,2019-12-12 5:05
797,38,23,휴식 및 명상,2019-12-12 5:05
833,38,24,건강증진,2019-12-12 5:05
834,38,24,휴식 및 명상,2019-12-12 5:05
835,38,24,자연경관감상,2019-12-12 5:05
871,38,25,휴식 및 명상,2019-12-12 5:05
872,38,25,산림체험활동,2019-12-12 5:05
873,38,25,여가시간 활용,2019-12-12 5:05
909,38,26,건강증진,2019-12-12 5:05
910,38,26,휴식 및 명상,2019-12-12 5:05
911,38,26,산림체험활동,2019-12-12 5:05
417,39,13,만족,2019-12-12 5:05
456,39,14,매우 만족,2019-12-12 5:05
494,39,15,만족,2019-12-12 5:05
532,39,16,만족,2019-12-12 5:05
570,39,17,만족,2019-12-12 5:05
608,39,18,만족,2019-12-12 5:05
646,39,19,만족,2019-12-12 5:05
684,39,20,만족,2019-12-12 5:05
722,39,21,매우 만족,2019-12-12 5:05
760,39,22,매우 만족,2019-12-12 5:05
798,39,23,매우 만족,2019-12-12 5:05
836,39,24,매우 만족,2019-12-12 5:05
874,39,25,만족,2019-12-12 5:05
912,39,26,매우 만족,2019-12-12 5:05
418,40,13,만족,2019-12-12 5:05
457,40,14,매우 만족,2019-12-12 5:05
495,40,15,만족,2019-12-12 5:05
533,40,16,만족,2019-12-12 5:05
571,40,17,만족,2019-12-12 5:05
609,40,18,만족,2019-12-12 5:05
647,40,19,만족,2019-12-12 5:05
685,40,20,만족,2019-12-12 5:05
723,40,21,매우 만족,2019-12-12 5:05
761,40,22,매우 만족,2019-12-12 5:05
799,40,23,매우 만족,2019-12-12 5:05
837,40,24,매우 만족,2019-12-12 5:05
875,40,25,만족,2019-12-12 5:05
913,40,26,매우 만족,2019-12-12 5:05
419,41,13,만족,2019-12-12 5:05
458,41,14,매우 만족,2019-12-12 5:05
496,41,15,만족,2019-12-12 5:05
534,41,16,매우 만족,2019-12-12 5:05
572,41,17,만족,2019-12-12 5:05
610,41,18,매우 만족,2019-12-12 5:05
648,41,19,만족,2019-12-12 5:05
686,41,20,만족,2019-12-12 5:05
724,41,21,매우 만족,2019-12-12 5:05
762,41,22,매우 만족,2019-12-12 5:05
800,41,23,매우 만족,2019-12-12 5:05
838,41,24,매우 만족,2019-12-12 5:05
876,41,25,만족,2019-12-12 5:05
914,41,26,매우 만족,2019-12-12 5:05
420,42,13,만족,2019-12-12 5:05
459,42,14,매우 만족,2019-12-12 5:05
497,42,15,만족,2019-12-12 5:05
535,42,16,매우 만족,2019-12-12 5:05
573,42,17,만족,2019-12-12 5:05
611,42,18,만족,2019-12-12 5:05
649,42,19,만족,2019-12-12 5:05
687,42,20,만족,2019-12-12 5:05
725,42,21,매우 만족,2019-12-12 5:05
763,42,22,매우 만족,2019-12-12 5:05
801,42,23,만족,2019-12-12 5:05
839,42,24,매우 만족,2019-12-12 5:05
877,42,25,,2019-12-12 5:05
915,42,26,매우 만족,2019-12-12 5:05
421,43,13,만족,2019-12-12 5:05
460,43,14,매우 만족,2019-12-12 5:05
498,43,15,매우 만족,2019-12-12 5:05
536,43,16,만족,2019-12-12 5:05
574,43,17,보통,2019-12-12 5:05
612,43,18,보통,2019-12-12 5:05
650,43,19,매우 만족,2019-12-12 5:05
688,43,20,매우 만족,2019-12-12 5:05
726,43,21,매우 만족,2019-12-12 5:05
764,43,22,매우 만족,2019-12-12 5:05
802,43,23,매우 만족,2019-12-12 5:05
840,43,24,매우 만족,2019-12-12 5:05
878,43,25,매우 만족,2019-12-12 5:05
916,43,26,매우 만족,2019-12-12 5:05
422,44,13,만족,2019-12-12 5:05
461,44,14,매우 만족,2019-12-12 5:05
499,44,15,만족,2019-12-12 5:05
537,44,16,만족,2019-12-12 5:05
575,44,17,만족,2019-12-12 5:05
613,44,18,만족,2019-12-12 5:05
651,44,19,,2019-12-12 5:05
689,44,20,매우 만족,2019-12-12 5:05
727,44,21,매우 만족,2019-12-12 5:05
765,44,22,매우 만족,2019-12-12 5:05
803,44,23,만족,2019-12-12 5:05
841,44,24,매우 만족,2019-12-12 5:05
879,44,25,,2019-12-12 5:05
917,44,26,매우 만족,2019-12-12 5:05
423,45,13,만족,2019-12-12 5:05
462,45,14,매우 만족,2019-12-12 5:05
500,45,15,만족,2019-12-12 5:05
538,45,16,만족,2019-12-12 5:05
576,45,17,불만족,2019-12-12 5:05
614,45,18,만족,2019-12-12 5:05
652,45,19,만족,2019-12-12 5:05
690,45,20,매우 만족,2019-12-12 5:05
728,45,21,매우 만족,2019-12-12 5:05
766,45,22,매우 만족,2019-12-12 5:05
804,45,23,만족,2019-12-12 5:05
842,45,24,매우 만족,2019-12-12 5:05
880,45,25,매우 만족,2019-12-12 5:05
918,45,26,매우 만족,2019-12-12 5:05
424,46,13,만족,2019-12-12 5:05
463,46,14,매우 만족,2019-12-12 5:05
501,46,15,만족,2019-12-12 5:05
539,46,16,매우 만족,2019-12-12 5:05
577,46,17,불만족,2019-12-12 5:05
615,46,18,만족,2019-12-12 5:05
